_id,camera_view,camera_index,status,reason,time_stamp,inspection_id,inference_image,remark,consolidated
61ce9cd24ab84456faf6e002,7,7,Rejected,{'burr': 2},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6e001.jpg,,True
61ce9cd24ab84456faf6e004,8,8,Accepted,{},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6e003.jpg,,True
61ce9cd24ab84456faf6e006,9,9,Accepted,{},2021-12-31 11:31:54,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd24ab84456faf6e005.jpg,,True
61ce9cd34ab84456faf6e008,10,10,Accepted,{},2021-12-31 11:31:55,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd34ab84456faf6e007.jpg,,True
61ce9cd44ab84456faf6e00a,11,11,Accepted,{},2021-12-31 11:31:56,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd44ab84456faf6e009.jpg,,True
61ce9cd54ab84456faf6e00c,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:31:57,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd54ab84456faf6e00b.jpg,,True
61ce9cd54ab84456faf6e00e,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:31:57,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd54ab84456faf6e00d.jpg,,True
61ce9cd54ab84456faf6e010,14,14,Rejected,{'dent': 1},2021-12-31 11:31:57,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cd54ab84456faf6e00f.jpg,,True
61ce9cde4ab84456faf6e013,1,1,Accepted,{},2021-12-31 11:32:06,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cde4ab84456faf6e012.jpg,,True
61ce9cde4ab84456faf6e015,2,2,Accepted,{},2021-12-31 11:32:06,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cde4ab84456faf6e014.jpg,,True
61ce9cde4ab84456faf6e017,3,3,Rejected,{'dent': 1},2021-12-31 11:32:06,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cde4ab84456faf6e016.jpg,,True
61ce9cdf4ab84456faf6e019,4,4,Accepted,{},2021-12-31 11:32:06,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cdf4ab84456faf6e018.jpg,,True
61ce9cdf4ab84456faf6e01b,5,5,Accepted,{},2021-12-31 11:32:07,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cdf4ab84456faf6e01a.jpg,,True
61ce9cdf4ab84456faf6e01d,6,6,Rejected,{'dent': 1},2021-12-31 11:32:07,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cdf4ab84456faf6e01c.jpg,,True
61ce9cdf4ab84456faf6e01f,7,7,Rejected,{'burr': 2},2021-12-31 11:32:07,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cdf4ab84456faf6e01e.jpg,,True
61ce9ce04ab84456faf6e021,8,8,Accepted,{},2021-12-31 11:32:07,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce04ab84456faf6e020.jpg,,True
61ce9ce04ab84456faf6e023,9,9,Accepted,{},2021-12-31 11:32:08,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce04ab84456faf6e022.jpg,,True
61ce9ce04ab84456faf6e025,10,10,Accepted,{},2021-12-31 11:32:08,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce04ab84456faf6e024.jpg,,True
61ce9ce24ab84456faf6e027,11,11,Accepted,{},2021-12-31 11:32:10,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce24ab84456faf6e026.jpg,,True
61ce9ce24ab84456faf6e029,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:32:10,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce24ab84456faf6e028.jpg,,True
61ce9ce24ab84456faf6e02b,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:32:10,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce24ab84456faf6e02a.jpg,,True
61ce9ce34ab84456faf6e02d,14,14,Rejected,{'dent': 1},2021-12-31 11:32:10,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ce24ab84456faf6e02c.jpg,,True
61ce9cec4ab84456faf6e030,1,1,Rejected,{'chamfer_absence': 1},2021-12-31 11:32:19,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cec4ab84456faf6e02f.jpg,,True
61ce9cec4ab84456faf6e032,2,2,Accepted,{},2021-12-31 11:32:20,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cec4ab84456faf6e031.jpg,,True
61ce9cec4ab84456faf6e034,3,3,Rejected,{'dent': 1},2021-12-31 11:32:20,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cec4ab84456faf6e033.jpg,,True
61ce9cec4ab84456faf6e036,4,4,Rejected,{'burr': 1},2021-12-31 11:32:20,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cec4ab84456faf6e035.jpg,,True
61ce9cec4ab84456faf6e038,5,5,Accepted,{},2021-12-31 11:32:20,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cec4ab84456faf6e037.jpg,,True
61ce9cec4ab84456faf6e03a,6,6,Accepted,{},2021-12-31 11:32:20,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cec4ab84456faf6e039.jpg,,True
61ce9ced4ab84456faf6e03c,7,7,Rejected,{'burr': 2},2021-12-31 11:32:21,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ced4ab84456faf6e03b.jpg,,True
61ce9ced4ab84456faf6e03e,8,8,Accepted,{},2021-12-31 11:32:21,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ced4ab84456faf6e03d.jpg,,True
61ce9ced4ab84456faf6e040,9,9,Accepted,{},2021-12-31 11:32:21,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ced4ab84456faf6e03f.jpg,,True
61ce9ced4ab84456faf6e042,10,10,Accepted,{},2021-12-31 11:32:21,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9ced4ab84456faf6e041.jpg,,True
61ce9cef4ab84456faf6e044,11,11,Accepted,{},2021-12-31 11:32:23,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cef4ab84456faf6e043.jpg,,True
61ce9cef4ab84456faf6e046,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:32:23,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cef4ab84456faf6e045.jpg,,True
61ce9cf04ab84456faf6e048,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:32:23,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf04ab84456faf6e047.jpg,,True
61ce9cf04ab84456faf6e04a,14,14,Rejected,{'dent': 1},2021-12-31 11:32:24,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf04ab84456faf6e049.jpg,,True
61ce9cf94ab84456faf6e04d,1,1,Accepted,{},2021-12-31 11:32:33,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf94ab84456faf6e04c.jpg,,True
61ce9cf94ab84456faf6e04f,2,2,Accepted,{},2021-12-31 11:32:33,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf94ab84456faf6e04e.jpg,,True
61ce9cf94ab84456faf6e051,3,3,Rejected,{'dent': 1},2021-12-31 11:32:33,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf94ab84456faf6e050.jpg,,True
61ce9cf94ab84456faf6e053,4,4,Accepted,{},2021-12-31 11:32:33,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf94ab84456faf6e052.jpg,,True
61ce9cf94ab84456faf6e055,5,5,Accepted,{},2021-12-31 11:32:33,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cf94ab84456faf6e054.jpg,,True
61ce9cfa4ab84456faf6e057,6,6,Rejected,{'dent': 1},2021-12-31 11:32:34,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfa4ab84456faf6e056.jpg,,True
61ce9cfa4ab84456faf6e059,7,7,Rejected,{'burr': 2},2021-12-31 11:32:34,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfa4ab84456faf6e058.jpg,,True
61ce9cfa4ab84456faf6e05b,8,8,Accepted,{},2021-12-31 11:32:34,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfa4ab84456faf6e05a.jpg,,True
61ce9cfa4ab84456faf6e05d,9,9,Accepted,{},2021-12-31 11:32:34,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfa4ab84456faf6e05c.jpg,,True
61ce9cfb4ab84456faf6e05f,10,10,Accepted,{},2021-12-31 11:32:34,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfa4ab84456faf6e05e.jpg,,True
61ce9cfc4ab84456faf6e061,11,11,Accepted,{},2021-12-31 11:32:36,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfc4ab84456faf6e060.jpg,,True
61ce9cfd4ab84456faf6e063,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:32:37,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfd4ab84456faf6e062.jpg,,True
61ce9cfd4ab84456faf6e065,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:32:37,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfd4ab84456faf6e064.jpg,,True
61ce9cfd4ab84456faf6e067,14,14,Rejected,{'dent': 1},2021-12-31 11:32:37,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9cfd4ab84456faf6e066.jpg,,True
61ce9d064ab84456faf6e06a,1,1,Accepted,{},2021-12-31 11:32:46,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d064ab84456faf6e069.jpg,,True
61ce9d064ab84456faf6e06c,2,2,Accepted,{},2021-12-31 11:32:46,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d064ab84456faf6e06b.jpg,,True
61ce9d074ab84456faf6e06e,3,3,Rejected,{'dent': 1},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e06d.jpg,,True
61ce9d074ab84456faf6e070,4,4,Accepted,{},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e06f.jpg,,True
61ce9d074ab84456faf6e072,5,5,Accepted,{},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e071.jpg,,True
61ce9d074ab84456faf6e074,6,6,Accepted,{},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e073.jpg,,True
61ce9d074ab84456faf6e076,7,7,Rejected,{'burr': 2},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e075.jpg,,True
61ce9d074ab84456faf6e078,8,8,Accepted,{},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e077.jpg,,True
61ce9d074ab84456faf6e07a,9,9,Accepted,{},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d074ab84456faf6e079.jpg,,True
61ce9d084ab84456faf6e07c,10,10,Accepted,{},2021-12-31 11:32:47,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d084ab84456faf6e07b.jpg,,True
61ce9d094ab84456faf6e07e,11,11,Accepted,{},2021-12-31 11:32:49,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d094ab84456faf6e07d.jpg,,True
61ce9d0a4ab84456faf6e080,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:32:49,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d0a4ab84456faf6e07f.jpg,,True
61ce9d0a4ab84456faf6e082,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:32:50,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d0a4ab84456faf6e081.jpg,,True
61ce9d0a4ab84456faf6e084,14,14,Rejected,{'dent': 1},2021-12-31 11:32:50,61ce9cd14ab84456faf6dff4,http://127.0.0.1:3306/images/61ce9d0a4ab84456faf6e083.jpg,,True
61ce9d324ab84456faf6e088,1,1,Accepted,{},2021-12-31 11:33:29,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e087.jpg,,True
61ce9d324ab84456faf6e08a,2,2,Rejected,{'dent': 1},2021-12-31 11:33:30,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e089.jpg,,True
61ce9d324ab84456faf6e08c,3,3,Accepted,{},2021-12-31 11:33:30,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e08b.jpg,,True
61ce9d324ab84456faf6e08e,4,4,Accepted,{},2021-12-31 11:33:30,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e08d.jpg,,True
61ce9d324ab84456faf6e090,5,5,Accepted,{},2021-12-31 11:33:30,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e08f.jpg,,True
61ce9d324ab84456faf6e092,6,6,Accepted,{},2021-12-31 11:33:30,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e091.jpg,,True
61ce9d324ab84456faf6e094,7,7,Rejected,{'burr': 1},2021-12-31 11:33:30,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d324ab84456faf6e093.jpg,,True
61ce9d334ab84456faf6e096,8,8,Accepted,{},2021-12-31 11:33:31,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d334ab84456faf6e095.jpg,,True
61ce9d334ab84456faf6e098,9,9,Accepted,{},2021-12-31 11:33:31,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d334ab84456faf6e097.jpg,,True
61ce9d334ab84456faf6e09a,10,10,Rejected,{'dent': 1},2021-12-31 11:33:31,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d334ab84456faf6e099.jpg,,True
61ce9d354ab84456faf6e09c,11,11,Accepted,{},2021-12-31 11:33:33,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d354ab84456faf6e09b.jpg,,True
61ce9d354ab84456faf6e09e,12,12,Accepted,{},2021-12-31 11:33:33,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d354ab84456faf6e09d.jpg,,True
61ce9d354ab84456faf6e0a0,13,13,Accepted,{},2021-12-31 11:33:33,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d354ab84456faf6e09f.jpg,,True
61ce9d354ab84456faf6e0a2,14,14,Accepted,{},2021-12-31 11:33:33,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d354ab84456faf6e0a1.jpg,,True
61ce9d3e4ab84456faf6e0a5,1,1,Accepted,{},2021-12-31 11:33:42,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3e4ab84456faf6e0a4.jpg,,True
61ce9d3e4ab84456faf6e0a7,2,2,Rejected,{'dent': 1},2021-12-31 11:33:42,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3e4ab84456faf6e0a6.jpg,,True
61ce9d3e4ab84456faf6e0a9,3,3,Accepted,{},2021-12-31 11:33:42,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3e4ab84456faf6e0a8.jpg,,True
61ce9d3f4ab84456faf6e0ab,4,4,Accepted,{},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0aa.jpg,,True
61ce9d3f4ab84456faf6e0ad,5,5,Accepted,{},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0ac.jpg,,True
61ce9d3f4ab84456faf6e0af,6,6,Accepted,{},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0ae.jpg,,True
61ce9d3f4ab84456faf6e0b1,7,7,Rejected,{'burr': 2},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0b0.jpg,,True
61ce9d3f4ab84456faf6e0b3,8,8,Accepted,{},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0b2.jpg,,True
61ce9d3f4ab84456faf6e0b5,9,9,Accepted,{},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0b4.jpg,,True
61ce9d3f4ab84456faf6e0b7,10,10,Rejected,{'dent': 1},2021-12-31 11:33:43,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d3f4ab84456faf6e0b6.jpg,,True
61ce9d414ab84456faf6e0b9,11,11,Accepted,{},2021-12-31 11:33:45,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d414ab84456faf6e0b8.jpg,,True
61ce9d424ab84456faf6e0bb,12,12,Accepted,{},2021-12-31 11:33:45,61ce9d314ab84456faf6e086,http://127.0.0.1:3306/images/61ce9d414ab84456faf6e0ba.jpg,,True
